name	descr	pvalue	qvalue
MRNA MODIFICATION%GOBP%GO:0016556	MRNA MODIFICATION%GOBP%GO:0016556	0.606	0.76044713842684
REGULATION OF FAT CELL PROLIFERATION%GOBP%GO:0070344	REGULATION OF FAT CELL PROLIFERATION%GOBP%GO:0070344	0.606	0.76044713842684
GLUCOSE IMPORT%GOBP%GO:0046323	GLUCOSE IMPORT%GOBP%GO:0046323	0.606	0.76044713842684
DNA POLYMERASE ACTIVITY%GOMF%GO:0034061	DNA POLYMERASE ACTIVITY%GOMF%GO:0034061	0.606	0.76044713842684
LIGAND-GATED MONOATOMIC ION CHANNEL ACTIVITY%GOMF%GO:0015276	LIGAND-GATED MONOATOMIC ION CHANNEL ACTIVITY%GOMF%GO:0015276	0.606	0.76044713842684
DNA BIOSYNTHETIC PROCESS%GOMF%GO:0071897	DNA BIOSYNTHETIC PROCESS%GOMF%GO:0071897	0.606	0.76044713842684
LIGAND-GATED CHANNEL ACTIVITY%GOMF%GO:0022834	LIGAND-GATED CHANNEL ACTIVITY%GOMF%GO:0022834	0.606	0.76044713842684
CEREBELLAR PURKINJE CELL LAYER MORPHOGENESIS%GOBP%GO:0021692	CEREBELLAR PURKINJE CELL LAYER MORPHOGENESIS%GOBP%GO:0021692	0.607	0.761201258452291
TRANSCRIPTION BY RNA POLYMERASE III%GOBP%GO:0006383	TRANSCRIPTION BY RNA POLYMERASE III%GOBP%GO:0006383	0.607	0.761201258452291
RESPONSE TO PROSTAGLANDIN E%GOBP%GO:0034695	RESPONSE TO PROSTAGLANDIN E%GOBP%GO:0034695	0.607	0.761201258452291
CEREBELLAR PURKINJE CELL LAYER DEVELOPMENT%GOBP%GO:0021680	CEREBELLAR PURKINJE CELL LAYER DEVELOPMENT%GOBP%GO:0021680	0.607	0.761201258452291
DNA N-GLYCOSYLASE ACTIVITY%GOMF%GO:0019104	DNA N-GLYCOSYLASE ACTIVITY%GOMF%GO:0019104	0.607	0.761201258452291
FORMATION OF THE CORNIFIED ENVELOPE%REACTOME DATABASE ID RELEASE 83%6809371	FORMATION OF THE CORNIFIED ENVELOPE%REACTOME DATABASE ID RELEASE 83%6809371	0.607	0.761201258452291
REGULATORY CIRCUITS OF THE STAT3 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP4538%HOMO SAPIENS	REGULATORY CIRCUITS OF THE STAT3 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP4538%HOMO SAPIENS	0.607	0.761201258452291
SEXUAL REPRODUCTION%GOBP%GO:0019953	SEXUAL REPRODUCTION%GOBP%GO:0019953	0.608	0.761882882882883
NEGATIVE REGULATION OF CELL DEVELOPMENT%GOBP%GO:0010721	NEGATIVE REGULATION OF CELL DEVELOPMENT%GOBP%GO:0010721	0.608	0.761882882882883
POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001269	POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001269	0.608	0.761882882882883
TRICARBOXYLIC ACID METABOLIC PROCESS%GOBP%GO:0072350	TRICARBOXYLIC ACID METABOLIC PROCESS%GOBP%GO:0072350	0.608	0.761882882882883
DIACYLGLYCEROL KINASE ACTIVITY%GOMF%GO:0004143	DIACYLGLYCEROL KINASE ACTIVITY%GOMF%GO:0004143	0.608	0.761882882882883
ROBO RECEPTORS BIND AKAP5%REACTOME DATABASE ID RELEASE 83%9010642	ROBO RECEPTORS BIND AKAP5%REACTOME DATABASE ID RELEASE 83%9010642	0.608	0.761882882882883
PROCESSING OF INTRONLESS PRE-MRNAS%REACTOME DATABASE ID RELEASE 83%77595	PROCESSING OF INTRONLESS PRE-MRNAS%REACTOME DATABASE ID RELEASE 83%77595	0.608	0.761882882882883
OXIDATIVE DAMAGE RESPONSE%WIKIPATHWAYS_20220510%WP3941%HOMO SAPIENS	OXIDATIVE DAMAGE RESPONSE%WIKIPATHWAYS_20220510%WP3941%HOMO SAPIENS	0.608	0.761882882882883
SULFUR COMPOUND METABOLIC PROCESS%GOBP%GO:0006790	SULFUR COMPOUND METABOLIC PROCESS%GOBP%GO:0006790	0.609	0.762706527855937
CARBOXY-TERMINAL DOMAIN PROTEIN KINASE COMPLEX%GOCC%GO:0032806	CARBOXY-TERMINAL DOMAIN PROTEIN KINASE COMPLEX%GOCC%GO:0032806	0.609	0.762706527855937
TRNA METHYLTRANSFERASE COMPLEX%GOCC%GO:0043527	TRNA METHYLTRANSFERASE COMPLEX%GOCC%GO:0043527	0.609	0.762706527855937
GOLGI STACK%GOCC%GO:0005795	GOLGI STACK%GOCC%GO:0005795	0.609	0.762706527855937
RNA POLYMERASE III TRANSCRIPTION TERMINATION%REACTOME DATABASE ID RELEASE 83%73980	RNA POLYMERASE III TRANSCRIPTION TERMINATION%REACTOME DATABASE ID RELEASE 83%73980	0.609	0.762706527855937
COHESIN COMPLEX - CORNELIA DE LANGE SYNDROME%WIKIPATHWAYS_20220510%WP5117%HOMO SAPIENS	COHESIN COMPLEX - CORNELIA DE LANGE SYNDROME%WIKIPATHWAYS_20220510%WP5117%HOMO SAPIENS	0.609	0.762706527855937
HEPATICOBILIARY SYSTEM DEVELOPMENT%GOBP%GO:0061008	HEPATICOBILIARY SYSTEM DEVELOPMENT%GOBP%GO:0061008	0.61	0.763744022503516
MRNA PROCESSING%GOBP%GO:0006397	MRNA PROCESSING%GOBP%GO:0006397	0.61	0.763744022503516
REGULATION OF TRANS-SYNAPTIC SIGNALING%GOBP%GO:0099177	REGULATION OF TRANS-SYNAPTIC SIGNALING%GOBP%GO:0099177	0.61	0.763744022503516
ERAD PATHWAY%GOBP%GO:0036503	ERAD PATHWAY%GOBP%GO:0036503	0.611	0.764565926342423
DORSAL/VENTRAL PATTERN FORMATION%GOBP%GO:0009953	DORSAL/VENTRAL PATTERN FORMATION%GOBP%GO:0009953	0.611	0.764565926342423
SENSORY PERCEPTION OF SOUND%GOBP%GO:0007605	SENSORY PERCEPTION OF SOUND%GOBP%GO:0007605	0.611	0.764565926342423
REGULATION OF PHOSPHATIDYLINOSITOL 3-KINASE SIGNALING%GOBP%GO:0014066	REGULATION OF PHOSPHATIDYLINOSITOL 3-KINASE SIGNALING%GOBP%GO:0014066	0.611	0.764565926342423
SARCOMERE%GOCC%GO:0030017	SARCOMERE%GOCC%GO:0030017	0.611	0.764565926342423
EXTRINSIC COMPONENT OF MEMBRANE%GOCC%GO:0019898	EXTRINSIC COMPONENT OF MEMBRANE%GOCC%GO:0019898	0.611	0.764565926342423
PROTEIN DEUBIQUITINATION%GOBP%GO:0016579	PROTEIN DEUBIQUITINATION%GOBP%GO:0016579	0.612	0.76517191011236
LONG-CHAIN FATTY ACID IMPORT INTO CELL%GOBP%GO:0044539	LONG-CHAIN FATTY ACID IMPORT INTO CELL%GOBP%GO:0044539	0.612	0.76517191011236
DISACCHARIDE METABOLIC PROCESS%GOBP%GO:0005984	DISACCHARIDE METABOLIC PROCESS%GOBP%GO:0005984	0.612	0.76517191011236
LIPID IMPORT INTO CELL%GOBP%GO:0140354	LIPID IMPORT INTO CELL%GOBP%GO:0140354	0.612	0.76517191011236
PURINE DEOXYRIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009151	PURINE DEOXYRIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009151	0.612	0.76517191011236
RNA-MEDIATED GENE SILENCING%GOBP%GO:0031047	RNA-MEDIATED GENE SILENCING%GOBP%GO:0031047	0.612	0.76517191011236
CELL-MATRIX ADHESION%GOBP%GO:0007160	CELL-MATRIX ADHESION%GOBP%GO:0007160	0.612	0.76517191011236
BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	0.612	0.76517191011236
SPHINGOLIPID METABOLISM: INTEGRATED PATHWAY%WIKIPATHWAYS_20220510%WP4726%HOMO SAPIENS	SPHINGOLIPID METABOLISM: INTEGRATED PATHWAY%WIKIPATHWAYS_20220510%WP4726%HOMO SAPIENS	0.612	0.76517191011236
INTESTINAL LIPID ABSORPTION%GOBP%GO:0098856	INTESTINAL LIPID ABSORPTION%GOBP%GO:0098856	0.613	0.765991858506457
PLATELET AGGREGATION%GOBP%GO:0070527	PLATELET AGGREGATION%GOBP%GO:0070527	0.613	0.765991858506457
POSITIVE REGULATION OF T CELL MEDIATED CYTOTOXICITY%GOBP%GO:0001916	POSITIVE REGULATION OF T CELL MEDIATED CYTOTOXICITY%GOBP%GO:0001916	0.613	0.765991858506457
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	0.613	0.765991858506457
BICARBONATE TRANSPORTERS%REACTOME%R-HSA-425381.2	BICARBONATE TRANSPORTERS%REACTOME%R-HSA-425381.2	0.613	0.765991858506457
CILIOPATHIES%WIKIPATHWAYS_20220510%WP4803%HOMO SAPIENS	CILIOPATHIES%WIKIPATHWAYS_20220510%WP4803%HOMO SAPIENS	0.613	0.765991858506457
REGULATION OF PLASMINOGEN ACTIVATION%GOBP%GO:0010755	REGULATION OF PLASMINOGEN ACTIVATION%GOBP%GO:0010755	0.614	0.766954349859682
RNA EXONUCLEASE ACTIVITY, PRODUCING 5'-PHOSPHOMONOESTERS%GOMF%GO:0016896	RNA EXONUCLEASE ACTIVITY, PRODUCING 5'-PHOSPHOMONOESTERS%GOMF%GO:0016896	0.614	0.766954349859682
INTERFERON TYPE I SIGNALING PATHWAYS%WIKIPATHWAYS_20220510%WP585%HOMO SAPIENS	INTERFERON TYPE I SIGNALING PATHWAYS%WIKIPATHWAYS_20220510%WP585%HOMO SAPIENS	0.614	0.766954349859682
DNA IR-DAMAGE AND CELLULAR RESPONSE VIA ATR%WIKIPATHWAYS_20220510%WP4016%HOMO SAPIENS	DNA IR-DAMAGE AND CELLULAR RESPONSE VIA ATR%WIKIPATHWAYS_20220510%WP4016%HOMO SAPIENS	0.614	0.766954349859682
CALCIUM CHANNEL COMPLEX%GOCC%GO:0034704	CALCIUM CHANNEL COMPLEX%GOCC%GO:0034704	0.615	0.767772531787584
ENDOSOME LUMEN%GOCC%GO:0031904	ENDOSOME LUMEN%GOCC%GO:0031904	0.615	0.767772531787584
PID_FCER1_PATHWAY%MSIGDB_C2%PID_FCER1_PATHWAY	PID_FCER1_PATHWAY%MSIGDB_C2%PID_FCER1_PATHWAY	0.615	0.767772531787584
HYPOXIC AND OXYGEN HOMEOSTASIS REGULATION OF HIF-1-ALPHA%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HYPOXIC AND OXYGEN HOMEOSTASIS REGULATION OF HIF-1-ALPHA	HYPOXIC AND OXYGEN HOMEOSTASIS REGULATION OF HIF-1-ALPHA%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HYPOXIC AND OXYGEN HOMEOSTASIS REGULATION OF HIF-1-ALPHA	0.615	0.767772531787584
ALTERNATIVE NF-KAPPAB PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALTERNATIVE NF-KAPPAB PATHWAY	ALTERNATIVE NF-KAPPAB PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALTERNATIVE NF-KAPPAB PATHWAY	0.615	0.767772531787584
MATURATION OF SPIKE PROTEIN%REACTOME%R-HSA-9683686.3	MATURATION OF SPIKE PROTEIN%REACTOME%R-HSA-9683686.3	0.615	0.767772531787584
NEUROTRANSMITTER RECEPTOR TRANSPORT TO POSTSYNAPTIC MEMBRANE%GOBP%GO:0098969	NEUROTRANSMITTER RECEPTOR TRANSPORT TO POSTSYNAPTIC MEMBRANE%GOBP%GO:0098969	0.616	0.768589796299757
ESTABLISHMENT OF PROTEIN LOCALIZATION TO POSTSYNAPTIC MEMBRANE%GOBP%GO:1903540	ESTABLISHMENT OF PROTEIN LOCALIZATION TO POSTSYNAPTIC MEMBRANE%GOBP%GO:1903540	0.616	0.768589796299757
CALCIUM-DEPENDENT PROTEIN BINDING%GOMF%GO:0048306	CALCIUM-DEPENDENT PROTEIN BINDING%GOMF%GO:0048306	0.616	0.768589796299757
TRNA MODIFICATION%GOMF%GO:0006400	TRNA MODIFICATION%GOMF%GO:0006400	0.616	0.768589796299757
APOPTOSIS MODULATION BY HSP70%WIKIPATHWAYS_20220510%WP384%HOMO SAPIENS	APOPTOSIS MODULATION BY HSP70%WIKIPATHWAYS_20220510%WP384%HOMO SAPIENS	0.616	0.768589796299757
TYPE I COLLAGEN SYNTHESIS IN THE CONTEXT OF OSTEOGENESIS IMPERFECTA%WIKIPATHWAYS_20220510%WP4786%HOMO SAPIENS	TYPE I COLLAGEN SYNTHESIS IN THE CONTEXT OF OSTEOGENESIS IMPERFECTA%WIKIPATHWAYS_20220510%WP4786%HOMO SAPIENS	0.616	0.768589796299757
CONNECTIVE TISSUE DEVELOPMENT%GOBP%GO:0061448	CONNECTIVE TISSUE DEVELOPMENT%GOBP%GO:0061448	0.617	0.769406144938364
POSITIVE REGULATION OF PROGRAMMED NECROTIC CELL DEATH%GOBP%GO:0062100	POSITIVE REGULATION OF PROGRAMMED NECROTIC CELL DEATH%GOBP%GO:0062100	0.617	0.769406144938364
POSITIVE REGULATION OF NECROPTOTIC PROCESS%GOBP%GO:0060545	POSITIVE REGULATION OF NECROPTOTIC PROCESS%GOBP%GO:0060545	0.617	0.769406144938364
LIPID DROPLET%GOCC%GO:0005811	LIPID DROPLET%GOCC%GO:0005811	0.617	0.769406144938364
REV-MEDIATED NUCLEAR EXPORT OF HIV RNA%REACTOME DATABASE ID RELEASE 83%165054	REV-MEDIATED NUCLEAR EXPORT OF HIV RNA%REACTOME DATABASE ID RELEASE 83%165054	0.617	0.769406144938364
ERBB2 ACTIVATES PTK6 SIGNALING%REACTOME%R-HSA-8847993.1	ERBB2 ACTIVATES PTK6 SIGNALING%REACTOME%R-HSA-8847993.1	0.617	0.769406144938364
LUNG ALVEOLUS DEVELOPMENT%GOBP%GO:0048286	LUNG ALVEOLUS DEVELOPMENT%GOBP%GO:0048286	0.618	0.770221579242113
SERINE-TYPE ENDOPEPTIDASE COMPLEX%GOCC%GO:1905370	SERINE-TYPE ENDOPEPTIDASE COMPLEX%GOCC%GO:1905370	0.618	0.770221579242113
PID_VEGFR1_PATHWAY%MSIGDB_C2%PID_VEGFR1_PATHWAY	PID_VEGFR1_PATHWAY%MSIGDB_C2%PID_VEGFR1_PATHWAY	0.618	0.770221579242113
DNA DOUBLE-STRAND BREAK REPAIR%REACTOME DATABASE ID RELEASE 83%5693532	DNA DOUBLE-STRAND BREAK REPAIR%REACTOME DATABASE ID RELEASE 83%5693532	0.618	0.770221579242113
INTEGRIN CELL SURFACE INTERACTIONS%REACTOME DATABASE ID RELEASE 83%216083	INTEGRIN CELL SURFACE INTERACTIONS%REACTOME DATABASE ID RELEASE 83%216083	0.618	0.770221579242113
MEASLES VIRUS INFECTION%WIKIPATHWAYS_20220510%WP4630%HOMO SAPIENS	MEASLES VIRUS INFECTION%WIKIPATHWAYS_20220510%WP4630%HOMO SAPIENS	0.618	0.770221579242113
PROTEIN MATURATION BY IRON-SULFUR CLUSTER TRANSFER%GOBP%GO:0097428	PROTEIN MATURATION BY IRON-SULFUR CLUSTER TRANSFER%GOBP%GO:0097428	0.619	0.770461129753915
CENTRAL NERVOUS SYSTEM PROJECTION NEURON AXONOGENESIS%GOBP%GO:0021952	CENTRAL NERVOUS SYSTEM PROJECTION NEURON AXONOGENESIS%GOBP%GO:0021952	0.619	0.770461129753915
NUCLEOSIDE BISPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0033866	NUCLEOSIDE BISPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0033866	0.619	0.770461129753915
LYMPHOCYTE PROLIFERATION%GOBP%GO:0046651	LYMPHOCYTE PROLIFERATION%GOBP%GO:0046651	0.619	0.770461129753915
HUMORAL IMMUNE RESPONSE MEDIATED BY CIRCULATING IMMUNOGLOBULIN%GOBP%GO:0002455	HUMORAL IMMUNE RESPONSE MEDIATED BY CIRCULATING IMMUNOGLOBULIN%GOBP%GO:0002455	0.619	0.770461129753915
RESPONSE TO KETONE%GOBP%GO:1901654	RESPONSE TO KETONE%GOBP%GO:1901654	0.619	0.770461129753915
PURINE NUCLEOSIDE BISPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0034033	PURINE NUCLEOSIDE BISPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0034033	0.619	0.770461129753915
RIBONUCLEOSIDE BISPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0034030	RIBONUCLEOSIDE BISPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0034030	0.619	0.770461129753915
NCRNA PROCESSING%GOBP%GO:0034470	NCRNA PROCESSING%GOBP%GO:0034470	0.619	0.770461129753915
PEPTIDYL-LYSINE MODIFICATION%GOMF%GO:0018205	PEPTIDYL-LYSINE MODIFICATION%GOMF%GO:0018205	0.619	0.770461129753915
CYTOCHROME P450 - ARRANGED BY SUBSTRATE TYPE%REACTOME DATABASE ID RELEASE 83%211897	CYTOCHROME P450 - ARRANGED BY SUBSTRATE TYPE%REACTOME DATABASE ID RELEASE 83%211897	0.619	0.770461129753915
SIGNALING BY ALK IN CANCER%REACTOME%R-HSA-9700206.2	SIGNALING BY ALK IN CANCER%REACTOME%R-HSA-9700206.2	0.619	0.770461129753915
SIGNALING BY ALK FUSIONS AND ACTIVATED POINT MUTANTS%REACTOME%R-HSA-9725370.1	SIGNALING BY ALK FUSIONS AND ACTIVATED POINT MUTANTS%REACTOME%R-HSA-9725370.1	0.619	0.770461129753915
COPPER HOMEOSTASIS%WIKIPATHWAYS_20220510%WP3286%HOMO SAPIENS	COPPER HOMEOSTASIS%WIKIPATHWAYS_20220510%WP3286%HOMO SAPIENS	0.619	0.770461129753915
REGULATION OF HEMATOPOIETIC PROGENITOR CELL DIFFERENTIATION%GOBP%GO:1901532	REGULATION OF HEMATOPOIETIC PROGENITOR CELL DIFFERENTIATION%GOBP%GO:1901532	0.62	0.771418188594857
PHOSPHATIDYLSERINE ACYL-CHAIN REMODELING%GOBP%GO:0036150	PHOSPHATIDYLSERINE ACYL-CHAIN REMODELING%GOBP%GO:0036150	0.62	0.771418188594857
P53 PATHWAY FEEDBACK LOOPS 1%PANTHER PATHWAY%P04392	P53 PATHWAY FEEDBACK LOOPS 1%PANTHER PATHWAY%P04392	0.62	0.771418188594857
REGULATION OF PTEN STABILITY AND ACTIVITY%REACTOME DATABASE ID RELEASE 83%8948751	REGULATION OF PTEN STABILITY AND ACTIVITY%REACTOME DATABASE ID RELEASE 83%8948751	0.62	0.771418188594857
ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0071616	ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0071616	0.621	0.772230676103557
THIOESTER BIOSYNTHETIC PROCESS%GOBP%GO:0035384	THIOESTER BIOSYNTHETIC PROCESS%GOBP%GO:0035384	0.621	0.772230676103557
VIRAL MRNA EXPORT FROM HOST CELL NUCLEUS%GOBP%GO:0046784	VIRAL MRNA EXPORT FROM HOST CELL NUCLEUS%GOBP%GO:0046784	0.621	0.772230676103557
TRANSLOCATION OF MOLECULES INTO HOST%GOBP%GO:0044417	TRANSLOCATION OF MOLECULES INTO HOST%GOBP%GO:0044417	0.621	0.772230676103557
BIOGENIC AMINE METABOLIC PROCESS%GOBP%GO:0006576	BIOGENIC AMINE METABOLIC PROCESS%GOBP%GO:0006576	0.621	0.772230676103557
TRANSLATION OF STRUCTURAL PROTEINS%REACTOME DATABASE ID RELEASE 83%9694635	TRANSLATION OF STRUCTURAL PROTEINS%REACTOME DATABASE ID RELEASE 83%9694635	0.621	0.772230676103557
TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0007178	TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0007178	0.622	0.772970311772918
ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:0046165	ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:0046165	0.622	0.772970311772918
REGULATION OF GROWTH%GOBP%GO:0040008	REGULATION OF GROWTH%GOBP%GO:0040008	0.622	0.772970311772918
SKIN EPIDERMIS DEVELOPMENT%GOBP%GO:0098773	SKIN EPIDERMIS DEVELOPMENT%GOBP%GO:0098773	0.622	0.772970311772918
NEGATIVE REGULATION OF VITAMIN D BIOSYNTHETIC PROCESS%GOBP%GO:0010957	NEGATIVE REGULATION OF VITAMIN D BIOSYNTHETIC PROCESS%GOBP%GO:0010957	0.622	0.772970311772918
EMBRYONIC ORGAN MORPHOGENESIS%GOBP%GO:0048562	EMBRYONIC ORGAN MORPHOGENESIS%GOBP%GO:0048562	0.622	0.772970311772918
NEGATIVE REGULATION OF ESTABLISHMENT OF PROTEIN LOCALIZATION%GOBP%GO:1904950	NEGATIVE REGULATION OF ESTABLISHMENT OF PROTEIN LOCALIZATION%GOBP%GO:1904950	0.622	0.772970311772918
PEPTIDYL-S-DIACYLGLYCEROL-L-CYSTEINE BIOSYNTHETIC PROCESS FROM PEPTIDYL-CYSTEINE%GOBP%GO:0018231	PEPTIDYL-S-DIACYLGLYCEROL-L-CYSTEINE BIOSYNTHETIC PROCESS FROM PEPTIDYL-CYSTEINE%GOBP%GO:0018231	0.623	0.773493165969317
KINETOCHORE ASSEMBLY%GOBP%GO:0051382	KINETOCHORE ASSEMBLY%GOBP%GO:0051382	0.623	0.773493165969317
PEPTIDYL-L-CYSTEINE S-PALMITOYLATION%GOBP%GO:0018230	PEPTIDYL-L-CYSTEINE S-PALMITOYLATION%GOBP%GO:0018230	0.623	0.773493165969317
REGULATION OF ER-ASSOCIATED UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:1903069	REGULATION OF ER-ASSOCIATED UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:1903069	0.623	0.773493165969317
PEPTIDYL-ARGININE MODIFICATION%GOBP%GO:0018195	PEPTIDYL-ARGININE MODIFICATION%GOBP%GO:0018195	0.623	0.773493165969317
CATALYTIC STEP 2 SPLICEOSOME%GOCC%GO:0071013	CATALYTIC STEP 2 SPLICEOSOME%GOCC%GO:0071013	0.623	0.773493165969317
TUMOR NECROSIS FACTOR BINDING%GOMF%GO:0043120	TUMOR NECROSIS FACTOR BINDING%GOMF%GO:0043120	0.623	0.773493165969317
ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR	ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR	0.623	0.773493165969317
CIRCADIAN RHYTHMS%SMPDB%SMP0090831	CIRCADIAN RHYTHMS%SMPDB%SMP0090831	0.623	0.773493165969317
SUMOYLATION OF DNA DAMAGE RESPONSE AND REPAIR PROTEINS%REACTOME%R-HSA-3108214.2	SUMOYLATION OF DNA DAMAGE RESPONSE AND REPAIR PROTEINS%REACTOME%R-HSA-3108214.2	0.623	0.773493165969317
REGULATION OF NADP METABOLIC PROCESS%GOBP%GO:1902031	REGULATION OF NADP METABOLIC PROCESS%GOBP%GO:1902031	0.624	0.774086956521739
REGULATION OF GLIAL CELL DIFFERENTIATION%GOBP%GO:0045685	REGULATION OF GLIAL CELL DIFFERENTIATION%GOBP%GO:0045685	0.624	0.774086956521739
SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:0072331	SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:0072331	0.624	0.774086956521739
ENDOPLASMIC RETICULUM LUMEN%GOCC%GO:0005788	ENDOPLASMIC RETICULUM LUMEN%GOCC%GO:0005788	0.624	0.774086956521739
MLL1/2 COMPLEX%GOCC%GO:0044665	MLL1/2 COMPLEX%GOCC%GO:0044665	0.624	0.774086956521739
MHC CLASS II PROTEIN BINDING%GOMF%GO:0042289	MHC CLASS II PROTEIN BINDING%GOMF%GO:0042289	0.624	0.774086956521739
LYASE ACTIVITY%GOMF%GO:0016829	LYASE ACTIVITY%GOMF%GO:0016829	0.624	0.774086956521739
DNA REPLICATION INITIATION%REACTOME DATABASE ID RELEASE 83%68952	DNA REPLICATION INITIATION%REACTOME DATABASE ID RELEASE 83%68952	0.624	0.774086956521739
RECRUITMENT OF NUMA TO MITOTIC CENTROSOMES%REACTOME%R-HSA-380320.2	RECRUITMENT OF NUMA TO MITOTIC CENTROSOMES%REACTOME%R-HSA-380320.2	0.624	0.774086956521739
LIPID STORAGE%GOBP%GO:0019915	LIPID STORAGE%GOBP%GO:0019915	0.625	0.774679754942913
SMOOTHENED SIGNALING PATHWAY%GOBP%GO:0007224	SMOOTHENED SIGNALING PATHWAY%GOBP%GO:0007224	0.625	0.774679754942913
REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY BY P53 CLASS MEDIATOR%GOBP%GO:1902253	REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY BY P53 CLASS MEDIATOR%GOBP%GO:1902253	0.625	0.774679754942913
NUCLEOTIDE SALVAGE%GOBP%GO:0043173	NUCLEOTIDE SALVAGE%GOBP%GO:0043173	0.625	0.774679754942913
OXIDATIVE DEMETHYLATION%GOBP%GO:0070989	OXIDATIVE DEMETHYLATION%GOBP%GO:0070989	0.625	0.774679754942913
PEPTIDASE ACTIVATOR ACTIVITY%GOMF%GO:0016504	PEPTIDASE ACTIVATOR ACTIVITY%GOMF%GO:0016504	0.625	0.774679754942913
DISEASES OF PROGRAMMED CELL DEATH%REACTOME%R-HSA-9645723.6	DISEASES OF PROGRAMMED CELL DEATH%REACTOME%R-HSA-9645723.6	0.625	0.774679754942913
P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME DATABASE ID RELEASE 83%69580	P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME DATABASE ID RELEASE 83%69580	0.625	0.774679754942913
P53-DEPENDENT G1 DNA DAMAGE RESPONSE%REACTOME DATABASE ID RELEASE 83%69563	P53-DEPENDENT G1 DNA DAMAGE RESPONSE%REACTOME DATABASE ID RELEASE 83%69563	0.625	0.774679754942913
REGULATION OF CHOLESTEROL EFFLUX%GOBP%GO:0010874	REGULATION OF CHOLESTEROL EFFLUX%GOBP%GO:0010874	0.626	0.775343474631296
ATP METABOLIC PROCESS%GOBP%GO:0046034	ATP METABOLIC PROCESS%GOBP%GO:0046034	0.626	0.775343474631296
POSITIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001235	POSITIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001235	0.626	0.775343474631296
MORPHOGENESIS OF A BRANCHING EPITHELIUM%GOBP%GO:0061138	MORPHOGENESIS OF A BRANCHING EPITHELIUM%GOBP%GO:0061138	0.626	0.775343474631296
REGULATION OF CHAPERONE-MEDIATED AUTOPHAGY%GOBP%GO:1904714	REGULATION OF CHAPERONE-MEDIATED AUTOPHAGY%GOBP%GO:1904714	0.626	0.775343474631296
